Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Sales,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating,Total_Amount,calculated_sales,error,is_incorrect
740-30-2111,Cairo,Yangon,Member,Female,Electronic accessories,27.48,8.0,10.992,230.832,01/01/2019,17:57,Credit card,219.84,4.761904762,10.992,7.6,219.84,230.832,0.0,False
756-20-9361,Alex,Mandalay,Normal,Female,Food and beverages,67.74,4.0,13.548,284.508,01/01/2019,06:46,Cash,270.96,4.761904762,13.548,5.9,270.96,284.508,0.0,False
453-61-8832,Alex,Mandalay,Member,Female,Fashion accessories,39.64,6.0,11.892000000000001,249.732,01/01/2019,20:52,Ewallet,237.84,4.761904762,11.892,8.5,237.84,249.732,0.0,False
480-57-7109,Giza,Yangon,Member,Male,Food and beverages,39.3,3.0,5.895,165.6225,01/01/2019,22:21,Ewallet,117.9,4.761904762,5.895,6.6,117.89999999999999,123.79499999999999,41.827500000000015,True
372-26-2724,Cairo,Mandalay,Normal,Female,Sports and travel,85.01,1.0,4.250500000000001,123.7169,01/01/2019,22:36,Cash,85.01,4.761904762,4.2505,5.9,85.01,89.26050000000001,34.45639999999999,True
871-84-3912,Alex,Yangon,Member,Male,Home and lifestyle,80.75,3.0,12.1125,248.4112,01/01/2019,03:52,Cash,242.25,4.761904762,12.1125,4.3,242.25,254.3625,5.951300000000003,True
328-43-2895,Giza,Yangon,Member,Male,Home and lifestyle,76.65,4.0,15.330000000000002,321.93,01/01/2019,09:03,Ewallet,306.6,4.761904762,15.33,8.5,306.6,321.93,0.0,False
774-15-2366,Alex,Yangon,Normal,Male,Sports and travel,24.08,9.0,10.835999999999999,227.556,01/01/2019,13:04,Cash,216.72,4.761904762,10.836,7.7,216.71999999999997,227.55599999999998,2.842170943040401e-14,False
564-22-9073,Giza,Yangon,Normal,Male,Health and beauty,12.94,7.0,4.529,136.1166,01/01/2019,10:05,Credit card,90.58,4.761904762,4.529,7.0,90.58,95.109,41.00760000000001,True
264-34-2635,Giza,Naypyitaw,Normal,Female,Health and beauty,76.76,3.0,11.514000000000003,241.794,01/01/2019,19:57,Ewallet,230.28,4.761904762,11.514,6.1,230.28000000000003,241.79400000000004,2.842170943040401e-14,False
176-16-2382,Cairo,Yangon,Member,Female,Health and beauty,58.49,3.0,8.7735,184.2435,01/01/2019,22:02,Credit card,175.47,4.761904762,8.7735,4.8,175.47,184.2435,0.0,False
307-43-3314,Giza,Mandalay,Member,Male,Electronic accessories,66.32,6.0,19.896,417.816,01/01/2019,09:30,Credit card,397.92,4.761904762,19.896,5.5,397.91999999999996,417.816,0.0,False
248-35-1397,Alex,Mandalay,Member,Female,Food and beverages,58.34,7.0,20.419,419.5213,01/01/2019,07:44,Credit card,408.38,4.761904762,20.419,4.5,408.38,428.799,9.277699999999982,True
307-35-7804,Cairo,Yangon,Normal,Male,Sports and travel,66.33,10.0,33.165,746.0423,01/01/2019,20:08,Ewallet,663.3,4.761904762,33.165,9.5,663.3,696.4649999999999,49.57730000000004,True
926-84-2287,Cairo,Naypyitaw,Normal,Female,Home and lifestyle,47.75,5.0,11.9375,250.6875,01/01/2019,04:06,Ewallet,238.75,4.761904762,11.9375,4.8,238.75,250.6875,0.0,False
244-91-4722,Giza,Yangon,Member,Female,Health and beauty,47.61,5.0,11.902500000000002,284.2167,01/01/2019,17:14,Ewallet,238.05,4.761904762,11.9025,7.2,238.05,249.95250000000001,34.26419999999999,True
674-22-6409,Alex,Naypyitaw,Member,Female,Food and beverages,98.52,7.0,34.482,737.3438,01/01/2019,00:42,Credit card,689.64,4.761904762,34.482,5.3,689.64,724.122,13.22180000000003,True
132-19-8421,Cairo,Mandalay,Member,Female,Sports and travel,44.5,9.0,20.025000000000002,420.525,01/01/2019,07:23,Ewallet,400.5,4.761904762,20.025,5.5,400.5,420.525,0.0,False
175-78-9405,Cairo,Yangon,Normal,Female,Home and lifestyle,58.72,10.0,29.360000000000003,579.6127,01/01/2019,05:22,Credit card,587.2,4.761904762,29.36,9.4,587.2,616.5600000000001,36.94730000000004,True
740-72-4281,Alex,Mandalay,Normal,Female,Sports and travel,64.72,7.0,22.652,475.692,01/01/2019,15:39,Cash,453.04,4.761904762,22.652,8.1,453.03999999999996,475.69199999999995,5.684341886080802e-14,False
862-45-4224,Giza,Naypyitaw,Member,Male,Home and lifestyle,18.95,7.0,6.6325,139.2825,01/01/2019,07:41,Cash,132.65,4.761904762,6.6325,5.1,132.65,139.2825,0.0,False
