Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Sales,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
754-24-1409,Cairo,Mandalay,Member,Male,Health and beauty,76.28,,34.326,720.846,01/26/2019,22:41,Ewallet,686.52,4.761904762,34.326,4.5
658-63-4611,Giza,Naypyitaw,Normal,Male,Health and beauty,72.83,6.0,21.849,458.829,02/14/2019,19:16,Cash,436.98,4.761904762,21.849,5.7
847-68-9785,Alex,Mandalay,Member,Female,Fashion accessories,65.67,6.0,19.701,413.721,01/30/2019,03:24,Credit card,394.02,4.761904762,19.701,7.5
564-91-6977,Alex,Mandalay,Normal,Male,Fashion accessories,34.03,2.0,3.403,71.463,03/23/2019,22:35,Cash,68.06,4.761904762,3.403,7.7
801-51-1916,Alex,Yangon,Normal,Female,Home and lifestyle,15.96,10.0,7.98,167.58,02/03/2019,04:15,Ewallet,159.6,4.761904762,7.98,9.3
674-78-5304,Cairo,Naypyitaw,Normal,Female,Home and lifestyle,29.74,3.0,4.461,93.681,02/24/2019,19:04,Credit card,89.22,4.761904762,4.461,7.1
490-86-8668,Cairo,Mandalay,Member,Male,Fashion accessories,89.63,5.0,22.4075,492.7667,03/06/2019,05:32,Cash,448.15,4.761904762,22.4075,8.6
991-90-5889,Cairo,Naypyitaw,Member,Male,Home and lifestyle,78.63,9.0,35.3835,743.0535,02/16/2019,09:15,Cash,707.67,4.761904762,35.3835,9.7
346-82-2290,Alex,Naypyitaw,Normal,Male,Food and beverages,78.93,3.0,11.8395,248.6295,03/11/2019,23:44,Cash,236.79,4.761904762,11.8395,8.0
830-49-7537,Cairo,Naypyitaw,Normal,Female,Food and beverages,50.63,4.0,10.126,212.646,03/22/2019,01:14,Cash,202.52,4.761904762,10.126,5.3
132-52-2160,Cairo,Yangon,Normal,Female,Health and beauty,58.53,10.0,29.265,630.4633,02/22/2019,14:55,Ewallet,585.3,4.761904762,29.265,7.5
155-96-2612,Alex,Mandalay,Normal,Male,Health and beauty,27.24,9.0,12.258,257.418,03/12/2019,03:03,Ewallet,245.16,4.761904762,12.258,6.7
653-11-2528,Alex,Yangon,Normal,Female,Sports and travel,29.24,,10.234,214.914,02/06/2019,13:44,Ewallet,204.68,4.761904762,10.234,9.4
902-81-8973,Alex,Yangon,Normal,Male,Electronic accessories,62.13,9.0,27.9585,587.1285,01/08/2019,16:05,Cash,559.17,4.761904762,27.9585,4.4
170-86-2113,Cairo,Yangon,Normal,Male,Food and beverages,32.16,10.0,16.08,337.68,03/27/2019,22:20,Cash,321.6,4.761904762,16.08,4.2
371-60-3144,Cairo,Naypyitaw,Normal,Female,Home and lifestyle,93.61,2.0,9.361,196.581,01/17/2019,11:56,Cash,187.22,4.761904762,9.361,4.1
350-57-5669,Alex,Mandalay,Normal,Male,Fashion accessories,83.54,5.0,20.885,438.585,01/20/2019,08:18,Ewallet,417.7,4.761904762,20.885,9.6
315-53-4335,Cairo,Naypyitaw,Normal,Female,Home and lifestyle,91.48,1.0,,96.054,02/03/2019,05:47,Credit card,91.48,4.761904762,4.574,4.6
664-64-1158,Alex,Yangon,Member,Male,Home and lifestyle,,3.0,9.3645,196.6545,02/15/2019,06:43,Cash,187.29,4.761904762,9.3645,6.6
782-23-6794,Cairo,Mandalay,Member,Male,Health and beauty,,3.0,14.679,308.259,02/01/2019,08:10,Ewallet,293.58,4.761904762,14.679,9.3
210-58-1634,Giza,Yangon,Member,Female,Home and lifestyle,37.47,4.0,7.494,184.7067,03/07/2019,12:43,Ewallet,149.88,4.761904762,7.494,5.3
439-13-2889,Giza,Yangon,Normal,Male,Electronic accessories,63.69,6.0,19.107,401.247,02/02/2019,01:45,Credit card,382.14,4.761904762,19.107,8.4
101-76-9821,Cairo,Naypyitaw,Member,Female,Sports and travel,16.3,6.0,4.89,102.69,02/11/2019,12:44,Credit card,97.8,4.761904762,4.89,7.7
667-26-4143,Giza,Naypyitaw,Normal,Male,Food and beverages,,7.0,21.427,449.967,03/01/2019,14:28,Ewallet,428.54,4.761904762,21.427,7.3
318-75-8752,Cairo,Yangon,Member,Female,Food and beverages,69.75,10.0,34.875,732.375,01/04/2019,01:15,Credit card,697.5,4.761904762,34.875,6.0
725-19-8461,Giza,Naypyitaw,Member,Female,Sports and travel,,3.0,6.8955,137.3201,03/31/2019,16:29,Cash,137.91,4.761904762,6.8955,7.9
670-41-2988,Giza,Yangon,Normal,Female,Sports and travel,65.14,9.0,29.313,615.573,02/01/2019,20:17,Ewallet,586.26,4.761904762,29.313,6.6
596-90-4919,Giza,Mandalay,Member,Female,Health and beauty,34.45,6.0,10.335,217.035,02/23/2019,13:21,Ewallet,206.7,4.761904762,10.335,9.4
577-63-2020,Alex,Mandalay,Normal,Male,Food and beverages,44.23,1.0,2.2115,46.4415,03/11/2019,19:57,Cash,44.23,4.761904762,2.2115,9.7
599-38-5471,Giza,Mandalay,Member,Female,Home and lifestyle,70.2,7.0,24.57,515.97,03/17/2019,18:42,Cash,491.4,4.761904762,24.57,8.3
185-92-8022,Alex,Mandalay,Member,Male,Home and lifestyle,44.12,4.0,8.824,185.304,01/11/2019,15:01,Ewallet,176.48,4.761904762,8.824,6.7
652-16-6733,Alex,Naypyitaw,Member,Male,Electronic accessories,95.47,4.0,19.094,445.7497,02/02/2019,11:10,Ewallet,381.88,4.761904762,19.094,9.0
721-24-3683,Giza,Yangon,Member,Female,Food and beverages,70.96,7.0,24.836,521.556,02/08/2019,21:38,Cash,496.72,4.761904762,24.836,6.4
915-82-1672,Giza,Naypyitaw,Normal,Female,Electronic accessories,55.54,6.0,16.662,349.902,02/28/2019,22:09,Credit card,333.24,4.761904762,16.662,4.1
280-76-5425,Cairo,Naypyitaw,Normal,Female,Sports and travel,84.32,10.0,42.16,885.36,03/01/2019,18:39,Ewallet,843.2,4.761904762,42.16,5.6
488-53-1470,Giza,Mandalay,Member,Female,Health and beauty,41.93,5.0,10.4825,264.9388,02/22/2019,15:35,Cash,209.65,4.761904762,10.4825,6.0
807-70-9041,Giza,Yangon,Member,Female,Health and beauty,46.4,4.0,9.28,194.88,02/12/2019,11:44,Credit card,185.6,4.761904762,9.28,5.8
377-49-5118,Alex,Yangon,Member,Female,Electronic accessories,76.86,3.0,11.529,242.109,01/13/2019,06:18,Cash,230.58,4.761904762,11.529,5.1
469-32-5952,Alex,Naypyitaw,Member,Female,Electronic accessories,97.69,9.0,43.9605,874.397,03/03/2019,14:21,Cash,879.21,4.761904762,43.9605,5.8
152-42-8827,Alex,Yangon,Normal,Female,Electronic accessories,61.93,1.0,3.0965,65.0265,02/23/2019,19:38,Ewallet,61.93,4.761904762,3.0965,4.9
331-76-7232,Giza,Mandalay,Normal,Female,Home and lifestyle,61.18,1.0,3.059,64.239,01/21/2019,07:11,Ewallet,61.18,4.761904762,3.059,7.7
176-30-1043,Giza,Mandalay,Normal,Female,Electronic accessories,30.83,5.0,7.7075,161.8575,03/26/2019,06:27,Cash,154.15,4.761904762,7.7075,8.2
657-38-3441,Giza,Yangon,Member,Male,Health and beauty,81.34,10.0,40.67,854.07,02/04/2019,16:34,Credit card,813.4,4.761904762,40.67,8.5
548-20-1653,Giza,Naypyitaw,Normal,Female,Electronic accessories,,10.0,9.11,191.31,01/23/2019,15:33,Ewallet,182.2,4.761904762,9.11,7.5
552-45-3973,Cairo,Mandalay,Normal,Male,Sports and travel,41.32,6.0,12.396,260.316,02/21/2019,17:02,Credit card,247.92,4.761904762,12.396,5.9
190-50-5135,Giza,Yangon,Normal,Male,Fashion accessories,88.24,8.0,35.296,741.216,01/27/2019,08:35,Cash,705.92,4.761904762,35.296,6.5
394-66-8941,Alex,Yangon,Member,Male,Home and lifestyle,59.58,9.0,26.811,563.031,01/20/2019,15:59,Ewallet,536.22,4.761904762,26.811,6.4
398-75-5479,Giza,Mandalay,Normal,Male,Sports and travel,59.61,7.0,20.8635,465.401,02/13/2019,16:17,Cash,417.27,4.761904762,20.8635,5.1
389-48-9022,Alex,Mandalay,Normal,Female,Home and lifestyle,59.67,9.0,26.8515,563.8815,02/22/2019,01:20,Ewallet,537.03,4.761904762,26.8515,6.3
830-49-7537,Cairo,Naypyitaw,Normal,Female,Food and beverages,50.63,4.0,10.126,212.646,03/22/2019,01:14,Cash,202.52,4.761904762,10.126,5.3
519-93-3529,Alex,Mandalay,Normal,Female,Food and beverages,72.34,2.0,7.234,151.914,03/04/2019,17:02,Ewallet,144.68,4.761904762,7.234,9.1
170-40-5708,Alex,Naypyitaw,Member,Female,Electronic accessories,78.43,2.0,7.843,164.703,02/17/2019,13:09,Cash,156.86,4.761904762,7.843,6.7
170-40-5708,Alex,Naypyitaw,Member,Female,Electronic accessories,78.43,2.0,7.843,164.703,02/17/2019,13:09,Cash,156.86,4.761904762,7.843,6.7
576-46-9955,Alex,Yangon,Normal,Female,Food and beverages,36.92,7.0,12.922,271.362,02/18/2019,18:22,Ewallet,258.44,4.761904762,12.922,8.1
402-99-5837,Alex,Naypyitaw,Normal,Female,Electronic accessories,60.93,1.0,3.0465,63.9765,02/15/2019,07:40,Cash,60.93,4.761904762,3.0465,9.5
735-42-3240,Cairo,Yangon,Member,Female,Sports and travel,13.0,6.0,3.9,81.9,03/11/2019,11:33,Ewallet,78.0,4.761904762,3.9,8.4
379-31-5210,Giza,Mandalay,Normal,Male,Sports and travel,96.66,3.0,14.499,304.479,03/13/2019,11:05,Credit card,289.98,4.761904762,14.499,8.5
114-43-9791,Alex,Mandalay,Normal,Female,Food and beverages,44.29,,13.287,279.027,01/29/2019,20:04,Ewallet,265.74,4.761904762,13.287,4.7
943-69-5951,Cairo,Mandalay,Member,Male,Electronic accessories,95.16,5.0,23.79,499.59,03/31/2019,17:26,Ewallet,475.8,4.761904762,23.79,10.0
860-29-7797,Cairo,Yangon,Normal,Female,Home and lifestyle,12.94,6.0,3.882,81.522,03/24/2019,11:03,Credit card,77.64,4.761904762,3.882,5.3
382-34-3001,Giza,Yangon,Member,Male,Electronic accessories,80.81,4.0,16.162,339.402,01/30/2019,10:49,Cash,323.24,4.761904762,16.162,9.9
